variables,.y.,group1,group2,n1,n2,statistic,df,p,p.adj,p.adj.signif
X2337,value,effusion,normal,250,250,3.1060858949838734,391.770437222245,0.00203,0.9888236632536974,ns
X1825,value,effusion,normal,250,250,2.97344898561168,405.8055957220064,0.00312,0.9888236632536974,ns
X3233,value,effusion,normal,250,250,2.6558794005270703,420.9031117619295,0.00821,0.9888236632536974,ns
X2500,value,effusion,normal,250,250,-2.4202726729312567,492.4587366173528,0.0159,0.9888236632536974,ns
X1953,value,effusion,normal,250,250,2.316893130226648,460.7269949989733,0.0209,0.9888236632536974,ns
X353,value,effusion,normal,250,250,2.2932380581945306,469.690962573104,0.0223,0.9888236632536974,ns
X2362,value,effusion,normal,250,250,2.2516699121357475,477.30632230991426,0.0248,0.9888236632536974,ns
X2562,value,effusion,normal,250,250,-2.2396613763598894,497.8096892805202,0.0256,0.9888236632536974,ns
X1781,value,effusion,normal,250,250,-2.218533961753524,496.23614219029054,0.027,0.9888236632536974,ns
X2345,value,effusion,normal,250,250,2.182515879800536,497.50530226825407,0.0295,0.9888236632536974,ns
X2563,value,effusion,normal,250,250,-2.179013286355369,497.53747925559975,0.0298,0.9888236632536974,ns
X2370,value,effusion,normal,250,250,-2.1702604801301053,497.64131655876344,0.0305,0.9888236632536974,ns
X2170,value,effusion,normal,250,250,-2.1568585696445495,496.66781970941213,0.0315,0.9888236632536974,ns
X2050,value,effusion,normal,250,250,-2.1475518601573325,497.98869988495505,0.0322,0.9888236632536974,ns
X329,value,effusion,normal,250,250,2.116782134060836,490.80992878666274,0.0348,0.9888236632536974,ns
X3778,value,effusion,normal,250,250,-2.1056167236852863,497.7797735915584,0.0357,0.9888236632536974,ns
X3361,value,effusion,normal,250,250,2.0918716966115505,469.0507672405775,0.037,0.9888236632536974,ns
X968,value,effusion,normal,250,250,2.0801050023929055,491.1436535185188,0.038,0.9888236632536974,ns
X578,value,effusion,normal,250,250,-2.0780015842969903,497.08347350824056,0.0382,0.9888236632536974,ns
X1775,value,effusion,normal,250,250,2.0717588291212543,346.7737906958298,0.039,0.9888236632536974,ns
X1981,value,effusion,normal,250,250,2.0206363313860938,496.98842882576054,0.0439,0.9888236632536974,ns
X1730,value,effusion,normal,250,250,2.0151202065403626,495.1924229850431,0.0444,0.9888236632536974,ns
X4090,value,effusion,normal,250,250,-2.014622575353149,497.78109878143346,0.0445,0.9888236632536974,ns
X3779,value,effusion,normal,250,250,-2.0037727085854784,497.8996478833557,0.0456,0.9888236632536974,ns
X2490,value,effusion,normal,250,250,-1.9981972984523637,497.63020218401385,0.0462,0.9888236632536974,ns
X1937,value,effusion,normal,250,250,1.9900647002227987,494.30580273073303,0.0471,0.9888236632536974,ns
X360,value,effusion,normal,250,250,1.9879347757349486,410.473809533185,0.0475,0.9888236632536974,ns
X9,value,effusion,normal,250,250,1.9781164936777131,467.59806006011627,0.0485,0.9888236632536974,ns
X3665,value,effusion,normal,250,250,1.9765805825042375,496.0116669753368,0.0486,0.9888236632536974,ns
X1782,value,effusion,normal,250,250,-1.9750438311168956,486.7826279410588,0.0488,0.9888236632536974,ns
X1205,value,effusion,normal,250,250,-1.974803090372023,491.0899313966175,0.0489,0.9888236632536974,ns
